Lista,GUA,NYT,GUA+NYT,Título Original,Título em Português (BR),País de Origem,Diretor,Onde Assistir (BR),Duração (min),,
"GUA, NYT",1,3,4,There Will Be Blood,Haverá Sangue,EUA,Paul Thomas Anderson,Paramount+,158,,The Guardian – 100 Best Films of the 21st Century (2019)
"GUA, NYT",5,4,9,In the Mood for Love,In the Mood for Love,Hong Kong,Wong Kar-wai,—,98,,The New York Times – The 100 Best Movies of the 21st Century (2025)
"GUA, NYT",11,2,13,Mulholland Dr.,Cidade dos Sonhos,EUA / França,David Lynch,Claro tv+,147,,
"GUA, NYT",8,5,13,Moonlight,Moonlight,EUA,Barry Jenkins,Prime Video,111,,
"GUA, NYT",3,23,26,Boyhood,Boyhood: Momentos de Uma Vida,EUA,Richard Linklater,Telecine,165,,
"GUA, NYT",22,9,31,Spirited Away,A Viagem de Chihiro,Japão,Hayao Miyazaki,Netflix,125,,
"GUA, NYT",25,8,33,Get Out,Foge,EUA,Jordan Peele,"Claro tv+, Telecine",104,,
"GUA, NYT",27,22,49,The Grand Budapest Hotel,O Grande Hotel Budapeste,EUA / Alemanha,Wes Anderson,"Netflix, Disney+",99,,
"GUA, NYT",2,51,53,12 Years a Slave,12 Anos Escravo,EUA / Reino Unido,Steve McQueen,"Prime Video, Paramount+, MUBI",134,,
"GUA, NYT",33,21,54,The Royal Tenenbaums,Os Excêntricos Tenenbaums,EUA,Wes Anderson,—,110,,
"GUA, NYT",18,36,54,A Serious Man,Um Homem Sério,EUA / Reino Unido,Joel e Ethan Coen,—,106,,
"GUA, NYT",43,20,63,The Wolf of Wall Street,O Lobo de Wall Street,EUA,Martin Scorsese,Claro tv+,180,,
"GUA, NYT",54,10,64,The Social Network,A Rede Social,EUA,David Fincher,Max,120,,
"GUA, NYT",26,40,66,Yi Yi (A One and a Two),Yi Yi,Taiwan,Edward Yang,—,173,,
"GUA, NYT",20,46,66,Roma,Roma,México,Alfonso Cuarón,Netflix,135,,
"GUA, NYT",51,16,67,"Crouching Tiger, Hidden Dragon",O Tigre e o Dragão,Taiwan / Hong Kong / EUA / China,Ang Lee,Netflix,120,,
"GUA, NYT",36,33,69,A Separation,Uma Separação,Irã,Asghar Farhadi,Reserva Imovision,123,,
"GUA, NYT",4,69,73,Under the Skin,Debaixo da Pele,Reino Unido,Jonathan Glazer,Diamond Films Amazon Channel,108,,
"GUA, NYT",23,53,76,Borat,Borat: Aprender Cultura da América para Fazer Benefício Glorioso à Nação do Cazaquistão,EUA / Reino Unido,Larry Charles,Disney+,84,,
"GUA, NYT",66,17,83,Brokeback Mountain,O Segredo de Brokeback Mountain,EUA,Ang Lee,—,134,,
"GUA, NYT",86,6,92,No Country for Old Men,Este País Não É Para Velhos,EUA,Joel e Ethan Coen,Netflix,122,,
"GUA, NYT",16,82,98,The Act of Killing,O Ato de Matar,Dinamarca / Noruega / Reino Unido,Joshua Oppenheimer,Filmicca,122,,
"GUA, NYT",50,49,99,Before Sunset,Antes do Pôr do Sol,EUA / França,Richard Linklater,—,80,,
"GUA, NYT",44,59,103,Toni Erdmann,As Faces de Toni Erdmann,Alemanha / Áustria,Maren Ade,—,162,,
"GUA, NYT",77,30,107,Lost in Translation,Lost in Translation,EUA / Japão,Sofia Coppola,—,102,,
"GUA, NYT",28,79,107,The Tree of Life,A Árvore da Vida,EUA,Terrence Malick,"Telecine, Pluto TV",139,,
"GUA, NYT",74,35,109,A Prophet (Un prophète),Um Profeta,França / Itália,Jacques Audiard,—,155,,
"GUA, NYT",98,28,126,The Dark Knight,O Cavaleiro das Trevas,EUA / Reino Unido,Christopher Nolan,Max,152,,
"GUA, NYT",46,80,126,Volver,Volver,Espanha,Pedro Almodóvar,—,121,,
