id,imdb_id,title_orig,title_pt,year,country,director,duration,genres,poster_path,overview,era,streaming,streaming_checked_at
7345,tt0469494,There Will Be Blood,Sangue Negro,2007,EUA,Paul Thomas Anderson,158,Drama,/fa0RDkAlCec0STeMNAhPaF89q6U.jpg,"Daniel Plainview e seu filho são caçadores de petróleo, que perfuram poços na Califórnia no início do século XX. Eles são desafiados por um jovem pastor, Eli Sunday, cuja ambição pessoal é confrontada por Plainview. A luta entre os dois é o centro dessa conflitante, trágica e histórica jornada ao abismo da loucura causada pela corrupção, fraude e petróleo.",XXI,Paramount+,2026-07-31
843,tt0118694,In the Mood for Love,Amor à Flor da Pele,2000,Hong Kong,Wong Kar-wai,98,Drama; Romance,/iYypPT4bhqXfq1b6EnmxvRt6b2Y.jpg,"Ambientado em Hong Kong no início dos anos 60, dois vizinhos, Sr. Chow e Sra. Chan, criam um vínculo depois de começarem a suspeitar que seus respectivos cônjuges estão tendo um caso juntos.",XXI,MUBI,2026-07-31
1018,tt0166924,Mulholland Dr.,Cidade dos Sonhos,2001,EUA / França,David Lynch,147,Thriller; Drama; Mistério,/x7A59t6ySylr1L7aubOQEA480vM.jpg,"Uma jovem atriz viaja para Hollywood e se vê emaranhada numa intriga secreta com uma mulher que escapou por pouco de ser assassinada, e que agora se encontra com amnésia devido a um acidente de carro. Seu mundo se torna um pesadelo surreal.",XXI,Claro tv+,2026-07-31
376867,tt4975722,Moonlight,Moonlight: Sob a Luz do Luar,2016,EUA,Barry Jenkins,111,Drama,/qLnfEmPrDjJfPyyddLJPkXmshkp.jpg,"Moonlight narra a vida de um jovem gay afro-americano, desde a infância até a vida adulta e sua luta para encontrar seu lugar no mundo enquanto cresce num bairro violento de Miami. Ao mesmo tempo um retrato essencial da vida contemporânea do afro-americano e uma reflexão intensa, pessoal e poética sobre identidade, família e amizade. A direção de Barry Jenkins traz sua visão única e profundamente comovente sobre o caleidoscópio de momentos, pessoas e forças desconhecidas que determinam nossas vidas e nos fazem ser quem somos.",XXI,Prime Video; Diamond Films,2026-07-31
85350,tt1065073,Boyhood,Boyhood: Da Infância à Juventude,2014,EUA,Richard Linklater,165,Drama,/2BvtvDUyxiMJ4dmKfiQf4qdOHQN.jpg,"Acompanhe a vida do garoto Mason durante um período de doze anos, da infância à juventude, analisando seu relacionamento com os pais, suas descobertas, experiências e seus conflitos.",XXI,Telecine,2026-07-31
129,tt0245429,Spirited Away,A Viagem de Chihiro,2001,Japão,Hayao Miyazaki,125,Animação; Família; Fantasia,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,"Chihiro e seus pais estão se mudando para uma cidade diferente. A caminho da nova casa, o pai decide pegar um atalho. Eles se deparam com uma mesa repleta de comida, embora ninguém esteja por perto. Chihiro sente o perigo, mas seus pais começam a comer. Quando anoitece, eles se transformam em porcos. Agora, apenas Chihiro pode salvá-los.",XXI,Netflix,2026-07-31
419430,tt5052448,Get Out,Corra!,2017,EUA,Jordan Peele,104,Mistério; Thriller; Terror,/tFXcEccSQMf3lfhfXKSU9iRBpa3.jpg,"Agora que Chris e sua namorada, Rose, chegaram à fase de conhecer os pais no namoro, ela o convida para um fim de semana no interior com Missy e Dean. A princípio, Chris acha que o comportamento excessivamente agradável dos dois como tentativas nervosas de lidar com o relacionamento inter-racial da filha, mas, conforme o fim de semana avança, uma série de descobertas cada vez mais perturbadoras o levam a uma verdade que ele jamais poderia ter imaginado.",XXI,Claro tv+; Telecine,2026-07-31
120467,tt2278388,The Grand Budapest Hotel,O Grande Hotel Budapeste,2014,EUA / Alemanha,Wes Anderson,99,Comédia; Drama,/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg,"No período entre as duas guerras mundiais, o famoso gerente de um hotel europeu conhece um jovem empregado e os dois tornam-se melhores amigos. Entre as aventuras vividas pelos dois, constam o roubo de um famoso quadro do Renascimento, a batalha pela grande fortuna de uma família e as transformações históricas durante a primeira metade do século XX.",XXI,Netflix; Disney+,2026-07-31
76203,tt2024544,12 Years a Slave,12 Anos de Escravidão,2013,EUA / Reino Unido,Steve McQueen,134,Drama; História,/xdANQijuNrJaw1HA61rDccME4Tm.jpg,"1841, Solomon Northup é um escravo liberto, que vive em paz ao lado da esposa e filhos. Um dia, após aceitar um trabalho que o leva a outra cidade, ele é sequestrado e acorrentado. Vendido como se fosse um escravo, Solomon precisa superar humilhações físicas e emocionais para sobreviver. Ao longo de doze anos ele passa por dois senhores, Ford e Edwin Epps, que, cada um à sua maneira, exploram seus serviços.",XXI,Prime Video; Paramount+; MUBI; Telecine,2026-07-31
9428,tt0265666,The Royal Tenenbaums,Os Excêntricos Tenenbaums,2001,EUA,Wes Anderson,110,Comédia; Drama,/nG7hZJn7wQTSDCQT39Gy3s3tbrp.jpg,"Royal e sua esposa Etheline tiveram três filhos muito diferentes entre si, mas igualmente bem-sucedidos. Quando Etheline resolve se casar com outro, o irresponsável e excêntrico Royal resolve lutar por seu amor reunindo toda a família.",XXI,Netflix; Disney+,2026-07-31
